Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
8.86268E-5,8.753425999,0.222072468,0.26854067,0.015625,0
9.03443E-5,9.004001079,0.225405947,0.265749601,0.015625,0
9.30791E-5,9.252232758,0.230655303,0.263058214,0.015625,0
9.67525E-5,9.508591345,0.237595405,0.260366826,0.015625,0
9.96858E-5,9.755301046,0.243047983,0.257874801,0.015625,0
1.02207E-4,10.008025997,0.247671725,0.255382775,0.03125,0
1.04447E-4,10.256224171,0.25173436,0.252990431,0.03125,0
1.08894E-4,10.502075197,0.259669524,0.250697767,0.03125,0
1.11639E-4,10.755290149,0.264483198,0.248405104,0.03125,0
1.13678E-4,11.004019107,0.268020276,0.246212121,0.09375,0
1.16686E-4,11.2575081,0.273174733,0.244019139,0.09375,0
1.19788E-4,11.50579834,0.278414795,0.241925837,0.09375,0
1.22522E-4,11.760798556,0.282971097,0.239832536,0.109375,0
1.25177E-4,12.008532196,0.287340346,0.237838915,0.109375,0
1.27667E-4,12.261577458,0.291390308,0.235845295,0.109375,0
1.29997E-4,12.505977268,0.295139942,0.233951356,0.109375,0
1.32711E-4,12.755593128,0.299455131,0.232057416,0.109375,0
1.35226E-4,13.010534957,0.303409627,0.230163477,0.109375,0
1.37476E-4,13.25609999,0.306907552,0.228369219,0.109375,0
1.40361E-4,13.506892645,0.31134277,0.22657496,0.109375,0
1.43666E-4,13.762442415,0.316355963,0.224780702,0.109375,0
1.47571E-4,14.00997706,0.322183844,0.223086124,0.140625,0
1.50606E-4,14.263800227,0.326646033,0.221391547,0.140625,0
1.52768E-4,14.506411697,0.329787592,0.219796651,0.140625,0
1.54545E-4,14.752330339,0.332349744,0.218201754,0.140625,0
1.57499E-4,15.002400588,0.336564299,0.216606858,0.140625,0
1.59789E-4,15.255946481,0.339794528,0.215011962,0.140625,0
1.62451E-4,15.514256372,0.343510404,0.213417065,0.140625,0
1.64721E-4,15.759969404,0.346646465,0.21192185,0.171875,0
1.66859E-4,16.008887777,0.349572957,0.210426635,0.171875,0
1.6927E-4,16.261033359,0.352842939,0.208931419,0.21875,0
1.71517E-4,16.516827314,0.355859423,0.207436204,0.21875,0
1.7357E-4,16.758686269,0.358591333,0.20604067,0.21875,0
1.77589E-4,17.005277525,0.36387295,0.204645136,0.21875,0
1.80455E-4,17.256294449,0.367587245,0.203249601,0.21875,0
1.82852E-4,17.511285187,0.370659659,0.201854067,0.21875,0
1.85752E-4,17.750944692,0.374337525,0.200558214,0.21875,0
1.88222E-4,18.012853757,0.37743746,0.199162679,0.21875,0
1.90564E-4,18.259262002,0.380347555,0.197866826,0.21875,0
1.9268E-4,18.508442546,0.3829531,0.196570973,0.21875,0
1.94551E-4,18.760115641,0.385238644,0.19527512,0.25,0
1.96648E-4,19.014580624,0.387781212,0.193979266,0.25,0
1.986E-4,19.252030515,0.390128938,0.192783094,0.265625,0
2.01291E-4,19.51237724,0.393335333,0.191487241,0.265625,0
2.03236E-4,19.755057667,0.395633217,0.190291069,0.265625,0
2.05304E-4,20.000335412,0.398055915,0.189094896,0.265625,0
2.07726E-4,20.269187866,0.400869214,0.187799043,0.265625,0
2.10433E-4,20.520363887,0.403983349,0.186602871,0.265625,0
2.13154E-4,20.753491145,0.407079712,0.18550638,0.265625,0
2.16007E-4,21.011005259,0.410293334,0.184310207,0.265625,0
2.18304E-4,21.250202427,0.412854796,0.183213716,0.265625,0
2.20717E-4,21.513621816,0.415522633,0.182017544,0.265625,0
2.23607E-4,21.757981093,0.418684904,0.180921053,0.265625,0
2.2527E-4,22.004801702,0.420489954,0.179824561,0.265625,0
2.27575E-4,22.254184789,0.422972597,0.17872807,0.265625,0
2.29206E-4,22.50534965,0.424716119,0.177631579,0.265625,0
2.31347E-4,22.758758987,0.426989421,0.176535088,0.265625,0
2.32665E-4,23.014007253,0.428379471,0.175438596,0.265625,0
2.37343E-4,23.272747968,0.433260934,0.174342105,0.28125,0
2.40182E-4,23.511888829,0.436183346,0.173345295,0.28125,0
2.41848E-4,23.752858763,0.437884422,0.172348485,0.28125,0
