variable,x,y
bio12_unc,1708.16,2.0698507796623744E-7
bio12_unc,1720.7312000000004,1.4329970099424827E-7
bio12_unc,1733.3023999999998,9.879484252905968E-8
bio12_unc,1745.8736000000001,6.78272797927093E-8
bio12_unc,1758.4448000000004,4.637231754145432E-8
bio12_unc,1771.0159999999998,3.157155603616957E-8
bio12_unc,1783.5872000000002,2.140503063685628E-8
bio12_unc,1796.1584,1.4451629226641671E-8
bio12_unc,1808.7296000000003,9.716327298292526E-9
bio12_unc,1821.3008000000002,6.505343375096118E-9
bio12_unc,1833.872,4.337315395730457E-9
bio12_unc,1846.4432000000004,2.8797371154354323E-9
bio12_unc,1859.0143999999998,1.9040093945932313E-9
bio12_unc,1871.5856,1.253626202846192E-9
bio12_unc,1884.1568000000004,8.219549485488642E-10
bio12_unc,1896.7279999999998,5.3667637001098E-10
bio12_unc,1909.2992000000002,3.4894712119815097E-10
bio12_unc,1921.8704000000005,2.2593814319460392E-10
bio12_unc,1934.4416000000003,1.4568013462223917E-10
bio12_unc,1947.0128000000002,9.353964131042503E-11
bio12_unc,1959.584,5.980999723265157E-11
bio12_unc,1972.1552000000004,3.8083303871561114E-11
bio12_unc,1984.7264000000002,2.4147727220591442E-11
bio12_unc,1997.2976,1.5247638221471682E-11
bio12_unc,2009.8688000000004,9.58763710784405E-12
bio12_unc,2022.4399999999998,6.003483734445814E-12
bio12_unc,2035.0112000000001,3.743482520496277E-12
bio12_unc,2047.5824000000005,2.3245186157871967E-12
bio12_unc,2060.1536000000006,1.4373846080398267E-12
bio12_unc,2072.7248,8.851025923468925E-13
bio12_unc,2085.2960000000003,5.427515533361349E-13
bio12_unc,2097.8672000000006,3.3142642818541346E-13
bio12_unc,2110.4384,2.0153751714366286E-13
bio12_unc,2123.0096000000003,1.2204264833969025E-13
bio12_unc,2135.5808000000006,7.359457281867071E-14
bio12_unc,2148.152,4.419393724672954E-14
bio12_unc,2160.7232000000004,2.6428142850141653E-14
bio12_unc,2173.2944000000007,1.5737978886136254E-14
bio12_unc,2185.8656,9.332938508664363E-15
bio12_unc,2198.4368000000004,5.511454075920021E-15
bio12_unc,2211.008,3.2411313386035857E-15
bio12_unc,2223.5792,1.898079285568956E-15
bio12_unc,2236.1504000000004,1.1069046671751694E-15
bio12_unc,2248.7216,6.428191799623601E-16
bio12_unc,2261.2928,3.717532314292558E-16
bio12_unc,2273.8640000000005,2.1409119054344004E-16
bio12_unc,2286.4352,1.2277939770309116E-16
bio12_unc,2299.0064,7.011964392242203E-17
bio12_unc,2311.5776000000005,3.987786117047923E-17
bio12_unc,2324.1488,2.2584555277927167E-17
bio12_unc,2336.7200000000003,1.2737057766628304E-17
bio12_unc,2349.2912000000006,7.153349576698339E-18
bio12_unc,2361.8624,4.000712385762228E-18
bio12_unc,2374.4336000000003,2.2281431220144354E-18
bio12_unc,2387.0048000000006,1.2357525174507589E-18
bio12_unc,2399.576,6.825078607908454E-19
bio12_unc,2412.1472000000003,3.7537169269381417E-19
bio12_unc,2424.7184000000007,2.0558815445287427E-19
bio12_unc,2437.2896,1.1213017399463906E-19
bio12_unc,2449.8608000000004,6.090101104050327E-20
bio12_unc,2462.432,3.29393013441419E-20
bio12_unc,2475.0032,1.7741153289361396E-20
bio12_unc,2487.5744000000004,9.5155077194207E-21
bio12_unc,2500.1456,5.0824149799953106E-21
bio12_unc,2512.7168,2.70324663861086E-21
bio12_unc,2525.2880000000005,1.4318052116831089E-21
bio12_unc,2537.8592,7.5521453610927E-22
bio12_unc,2550.4304,3.9667427594754207E-22
bio12_unc,2563.0016000000005,2.07482004862102E-22
bio12_unc,2575.5728,1.0807246726766404E-22
bio12_unc,2588.1440000000002,5.605662000807338E-23
bio12_unc,2600.7152000000006,2.8955231034002244E-23
bio12_unc,2613.286400000001,1.489375857716693E-23
bio12_unc,2625.8576000000003,7.628941285760328E-24
bio12_unc,2638.4288000000006,3.8914607062165665E-24
bio12_unc,2651.0,1.9766876216118714E-24
bio12_unc,2663.5712000000003,9.998759711641354E-25
bio12_unc,2676.1424000000006,5.036661422201422E-25
bio12_unc,2688.7136,2.5264826024800386E-25
bio12_unc,2701.2848000000004,1.2620382883595572E-25
bio12_unc,2713.8559999999998,6.277943054511384E-26
bio12_unc,2726.4272,3.1098471524134816E-26
bio12_unc,2738.9984000000004,1.5340848601340754E-26
bio12_unc,2751.5696,7.535924286702172E-27
bio12_unc,2764.1408,3.686432906573308E-27
bio12_unc,2776.7120000000004,1.7958287544120115E-27
bio12_unc,2789.2832,8.71164462132931E-28
bio12_unc,2801.8544,4.208410669756283E-28
bio12_unc,2814.4256000000005,2.0245332241974875E-28
bio12_unc,2826.9968,9.698583569470659E-29
bio12_unc,2839.568,4.626732524068156E-29
bio12_unc,2852.1392000000005,2.198008926433082E-29
bio12_unc,2864.710400000001,1.0398267297882358E-29
bio12_unc,2877.2816000000003,4.898707761684576E-30
bio12_unc,2889.8528000000006,2.2981505126937574E-30
bio12_unc,2902.424,1.0736386116794689E-30
bio12_unc,2914.9952000000003,4.994901661756998E-31
bio12_unc,2927.5664000000006,2.314046205582413E-31
bio12_unc,2940.1376,1.0675784445933526E-31
bio12_unc,2952.7088000000003,4.904749884932407E-32
bio12_unc,2965.2799999999997,2.2439339331896938E-32
bio12_unc,2977.8512,1.02231795948694E-32
bio12_unc,2990.4224000000004,4.6382193243845184E-33
bio12_unc,3002.9936,2.0955240245101368E-33
bio12_unc,3015.5648,9.42808366483885E-34
bio12_unc,3028.1360000000004,4.224061348685637E-34
bio12_unc,3040.7072,1.8846022492005868E-34
bio12_unc,3053.2784,8.37334013449486E-35
bio12_unc,3065.8496000000005,3.7047050430154956E-35
bio12_unc,3078.4208,1.6322673200354944E-35
bio12_unc,3090.992,7.16174022787917E-36
bio12_unc,3103.5632000000005,3.129115524112524E-36
bio12_unc,3116.134400000001,1.3614676877255433E-36
bio12_unc,3128.7056000000002,5.899060718772211E-37
bio12_unc,3141.2768000000005,2.545271222763442E-37
bio12_unc,3153.848,1.0936417049241463E-37
bio12_unc,3166.4192000000003,4.6794164980135205E-38
bio12_unc,3178.9904000000006,1.9938432652882697E-38
bio12_unc,3191.5616,8.460193743320793E-39
bio12_unc,3204.1328000000003,3.574744612357288E-39
bio12_unc,3216.7039999999997,1.504155172904723E-39
bio12_unc,3229.2752,6.302746219855519E-40
bio12_unc,3241.8464000000004,2.62992893187553E-40
bio12_unc,3254.4175999999998,1.0928166203883518E-40
bio12_unc,3266.9888,4.5219901443761847E-41
bio12_unc,3279.5600000000004,1.8633065680127093E-41
bio12_unc,3292.1312,7.645484421356202E-42
bio12_unc,3304.7024,3.124895575444342E-42
bio12_unc,3317.2736000000004,1.2709777071426091E-42
bio12_unc,3329.8448000000008,5.156778348715327E-43
bio12_unc,3342.416,2.0739217272007293E-43
bio12_unc,3354.9872000000005,8.407790785948902E-44
bio12_unc,3367.558400000001,3.363116314379561E-44
bio12_unc,3380.1296,1.401298464324817E-44
bio12_unc,3392.7008000000005,5.605193857299268E-45
bio12_unc,3405.272,1.401298464324817E-45
bio12_unc,3417.8432000000003,1.401298464324817E-45
bio12_unc,3430.4144000000006,0.0
bio12_unc,3442.9856,0.0
bio12_unc,3455.5568000000003,0.0
bio12_unc,3468.1279999999997,0.0
bio12_unc,3480.6992,0.0
bio12_unc,3493.2704000000003,0.0
bio12_unc,3505.8415999999997,0.0
bio12_unc,3518.4128,0.0
bio12_unc,3530.9840000000004,0.0
bio12_unc,3543.5552,0.0
bio12_unc,3556.1264,0.0
bio12_unc,3568.6976000000004,0.0
bio12_unc,3581.2688000000007,0.0
bio12_unc,3593.84,0.0
bio12_unc,3606.4111999999996,0.0
bio12_unc,3618.9824,0.0
bio12_unc,3631.5536,0.0
bio12_unc,3644.1248000000005,0.0
bio12_unc,3656.696,0.0
bio12_unc,3669.2672000000002,0.0
bio12_unc,3681.8384000000005,0.0
bio12_unc,3694.4096,0.0
bio12_unc,3706.9807999999994,0.0
bio12_unc,3719.5519999999997,0.0
bio12_unc,3732.1232,0.0
bio12_unc,3744.6944000000003,0.0
bio12_unc,3757.2656000000006,0.0
bio12_unc,3769.8368,0.0
bio12_unc,3782.4079999999994,0.0
bio12_unc,3794.9791999999998,0.0
bio12_unc,3807.5504,0.0
bio12_unc,3820.1216000000004,0.0
bio12_unc,3832.6928,0.0
bio12_unc,3845.264,0.0
bio12_unc,3857.8352000000004,0.0
bio12_unc,3870.4064,0.0
bio12_unc,3882.9776,0.0
bio12_unc,3895.5487999999996,0.0
bio12_unc,3908.12,0.0
bio12_unc,3920.6912,0.0
bio12_unc,3933.2624000000005,0.0
bio12_unc,3945.8336,0.0
bio12_unc,3958.4047999999993,0.0
bio12_unc,3970.9759999999997,0.0
bio12_unc,3983.5472,0.0
bio12_unc,3996.1184000000003,0.0
bio12_unc,4008.6896000000006,0.0
bio12_unc,4021.2608,0.0
bio12_unc,4033.8319999999994,0.0
bio12_unc,4046.4031999999997,0.0
