Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.45403E-5,5.000891909,0.11203727,0.357392085,0.015625,0
3.59124E-5,5.250884494,0.116219036,0.350314027,0.015625,0
3.75513E-5,5.50043656,0.121187908,0.343535041,0.03125,0
3.93944E-5,5.751113377,0.126742294,0.337055129,0.03125,0
4.12256E-5,6.000862749,0.13222645,0.33087429,0.03125,0
4.28168E-5,6.253314906,0.136963646,0.324892832,0.03125,0
4.43573E-5,6.502088691,0.141525285,0.319210448,0.03125,0
4.61678E-5,6.751051632,0.146855792,0.313727445,0.03125,0
4.82014E-5,7.00127895,0.152803398,0.308443824,0.03125,0
5.01956E-5,7.25245169,0.158595686,0.303359585,0.03125,0
5.31609E-5,7.505036207,0.167135348,0.298474728,0.03125,0
5.65025E-5,7.751121292,0.176655034,0.293988635,0.03125,0
6.19628E-5,8.005909937,0.191976868,0.289701924,0.03125,0
6.65256E-5,8.250464172,0.20456127,0.285913668,0.03125,0
7.21511E-5,8.505656543,0.21980735,0.282225102,0.03125,0
7.99189E-5,8.75510831,0.240380183,0.278935301,0.03125,0
8.87976E-5,9.008016091,0.263231551,0.275944572,0.03125,0
9.76246E-5,9.258792303,0.285268372,0.273252916,0.03125,0
1.0445E-4,9.501775552,0.301855454,0.270860333,0.03125,0
1.11853E-4,9.759193598,0.319412061,0.26846775,0.03125,0
1.18443E-4,10.011659348,0.334666976,0.266274549,0.03125,0
1.23807E-4,10.254832896,0.346831364,0.26428073,0.046875,0
1.28811E-4,10.506933331,0.357979855,0.262286911,0.046875,0
1.3253E-4,10.754537752,0.366141101,0.260392782,0.046875,0
1.35048E-4,11.009007886,0.371609488,0.258498654,0.046875,0
1.37924E-4,11.254355511,0.377795524,0.256704217,0.046875,0
1.41256E-4,11.506224215,0.38488622,0.25490978,0.046875,0
1.44019E-4,11.763026609,0.390706691,0.253115342,0.0625,0
1.46796E-4,12.010176426,0.396499281,0.251420596,0.0625,0
1.4853E-4,12.261036166,0.400088151,0.24972585,0.0625,0
1.5082E-4,12.500227318,0.404797008,0.248130795,0.0625,0
1.52401E-4,12.75776892,0.408023763,0.246436048,0.0625,0
1.55174E-4,13.004031831,0.413644496,0.244840993,0.0625,0
1.57425E-4,13.25406545,0.418168556,0.243245938,0.0625,0
1.59283E-4,13.507320196,0.421875252,0.241650882,0.0625,0
1.62484E-4,13.765096097,0.428207198,0.240055827,0.0625,0
1.64929E-4,14.011094539,0.432996597,0.238560463,0.078125,0
1.66681E-4,14.260032876,0.436403832,0.237065098,0.078125,0
1.6852E-4,14.511535017,0.439956868,0.235569734,0.078125,0
1.70486E-4,14.765491822,0.443733403,0.234074369,0.078125,0
1.72309E-4,15.005599164,0.447209572,0.232678696,0.078125,0
1.74187E-4,15.265649148,0.450770955,0.231183332,0.109375,0
1.76524E-4,15.510968187,0.45516845,0.229787658,0.109375,0
1.78299E-4,15.759562107,0.458485208,0.228391985,0.109375,0
1.80326E-4,16.01080811,0.46224718,0.226996311,0.109375,0
1.82285E-4,16.264618438,0.465859251,0.225600638,0.109375,0
1.84347E-4,16.503128539,0.469635674,0.224304656,0.109375,0
1.85969E-4,16.762332418,0.472586941,0.222908982,0.109375,0
1.87259E-4,17.005024671,0.47492193,0.221613,0.109375,0
1.89569E-4,17.268939799,0.479077498,0.220217326,0.109375,0
1.91279E-4,17.516759837,0.482134557,0.218921344,0.109375,0
1.9298E-4,17.766732065,0.485155624,0.217625361,0.109375,0
1.94502E-4,18.018615626,0.487843691,0.216329379,0.109375,0
1.95621E-4,18.252898003,0.489811422,0.215133087,0.125,0
1.97138E-4,18.508364853,0.492468267,0.213837105,0.125,0
1.98177E-4,18.765452703,0.494278693,0.212541123,0.125,0
2.00271E-4,19.004672161,0.49790766,0.211344831,0.15625,0
2.02252E-4,19.266748728,0.501318721,0.210048849,0.15625,0
2.0354E-4,19.51012843,0.503522465,0.208852557,0.15625,0
2.04262E-4,19.754839882,0.504755641,0.207656266,0.15625,0
2.06538E-4,20.001070009,0.508618271,0.206459974,0.15625,0
2.07549E-4,20.270290958,0.510323298,0.205163992,0.15625,0
2.08564E-4,20.520033284,0.512029863,0.2039677,0.171875,0
2.09728E-4,20.75017836,0.513979995,0.2028711,0.171875,0
2.10324E-4,21.002238866,0.514976607,0.201674808,0.171875,0
2.1154E-4,21.255266754,0.517000642,0.200478517,0.1875,0
2.12602E-4,21.509945469,0.518762085,0.199282225,0.1875,0
2.14312E-4,21.765731211,0.521584472,0.198085934,0.1875,0
2.15921E-4,22.002219241,0.524225112,0.196989333,0.1875,0
2.16849E-4,22.261906817,0.525741551,0.195793042,0.1875,0
2.17973E-4,22.501193703,0.527573295,0.194696441,0.1875,0
2.18998E-4,22.763310485,0.529235545,0.19350015,0.1875,0
2.1989E-4,23.004660117,0.53067726,0.192403549,0.1875,0
2.2129E-4,23.269059291,0.532932424,0.191207258,0.1875,0
2.22854E-4,23.513276603,0.535438869,0.190110657,0.1875,0
2.24199E-4,23.75911586,0.537583963,0.189014056,0.1875,0
2.25002E-4,24.00620217,0.538860013,0.187917456,0.1875,0
2.26283E-4,24.254476784,0.54088663,0.186820855,0.1875,0
2.27345E-4,24.504062219,0.542560875,0.185724255,0.21875,0
2.29188E-4,24.755115439,0.545452216,0.184627654,0.21875,0
2.3043E-4,25.008036101,0.547390554,0.183531054,0.21875,0
2.31384E-4,25.262121058,0.548873451,0.182434453,0.21875,0
2.32379E-4,25.517265362,0.550415312,0.181337853,0.21875,0
2.33537E-4,25.750117131,0.552201928,0.180340943,0.21875,0
2.35225E-4,26.007981757,0.554795803,0.179244343,0.21875,0
