Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.46316E-4,22.502489129,0.432836923,0.173735156,0.234375,0
2.49008E-4,22.750164516,0.435507534,0.172737252,0.234375,0
2.51018E-4,23.000103925,0.437485191,0.171739347,0.234375,0
2.53366E-4,23.252500159,0.439777323,0.170741443,0.234375,0
2.54799E-4,23.506683684,0.441167238,0.169743539,0.234375,0
2.56103E-4,23.762118242,0.442426223,0.168745634,0.234375,0
2.57901E-4,24.019190038,0.44415246,0.16774773,0.234375,0
2.59525E-4,24.251920502,0.445702963,0.166849616,0.234375,0
2.62567E-4,24.513111433,0.448583777,0.165851711,0.234375,0
2.64397E-4,24.750278835,0.450302539,0.164953597,0.234375,0
2.65695E-4,25.015163443,0.45151533,0.163955693,0.234375,0
2.67357E-4,25.255389684,0.453059611,0.163057579,0.234375,0
2.71631E-4,25.525258544,0.456992583,0.162059675,0.234375,0
2.74505E-4,25.770846998,0.459605496,0.161161561,0.234375,0
2.76267E-4,26.018688685,0.461195396,0.160263447,0.234375,0
2.78775E-4,26.268604198,0.463441805,0.159365333,0.234375,0
2.80689E-4,26.520555464,0.465143205,0.158467219,0.234375,0
2.8271E-4,26.774349103,0.466928669,0.157569105,0.234375,0
2.84527E-4,27.001050466,0.468523995,0.156770781,0.234375,0
2.86006E-4,27.25794263,0.469814397,0.155872667,0.234375,0
2.88264E-4,27.516892463,0.471774102,0.154974553,0.234375,0
2.9083E-4,27.778026556,0.473983228,0.154076439,0.234375,0
2.91855E-4,28.01104929,0.47486012,0.153278116,0.265625,0
2.93483E-4,28.274393632,0.476247373,0.152380002,0.265625,0
2.94146E-4,28.509405195,0.476810505,0.151581678,0.265625,0
2.9571E-4,28.774727452,0.478133363,0.150683565,0.265625,0
2.9861E-4,29.012168395,0.480569425,0.149885241,0.265625,0
3.00137E-4,29.251648813,0.481842674,0.149086917,0.265625,0
3.02131E-4,29.523145728,0.483495687,0.148188804,0.265625,0
3.03257E-4,29.765298354,0.484425331,0.14739048,0.265625,0
3.04393E-4,30.008446749,0.485358788,0.146592156,0.265625,0
3.06996E-4,30.252999347,0.487486246,0.145793833,0.28125,0
3.08995E-4,30.530064079,0.489108013,0.144895719,0.28125,0
3.09917E-4,30.777673671,0.489852647,0.144097395,0.28125,0
3.11092E-4,31.026056493,0.490797711,0.143299072,0.28125,0
3.13831E-4,31.276344507,0.492988976,0.142500748,0.28125,0
3.14997E-4,31.527927883,0.493915572,0.141702425,0.28125,0
3.1911E-4,31.750508763,0.497158462,0.141003892,0.28125,0
3.21248E-4,32.006765579,0.498827845,0.140205568,0.28125,0
3.22534E-4,32.26442393,0.499827371,0.139407245,0.28125,0
3.24194E-4,32.523491713,0.501110384,0.138608921,0.28125,0
3.25554E-4,32.750878281,0.502157195,0.137910388,0.28125,0
3.27127E-4,33.011867033,0.503362189,0.137112065,0.28125,0
3.27934E-4,33.27391355,0.503978067,0.136313741,0.296875,0
3.30136E-4,33.504663886,0.505650623,0.135615208,0.296875,0
3.32158E-4,33.769616779,0.507176896,0.134816885,0.296875,0
3.34494E-4,34.002886577,0.508928655,0.134118351,0.296875,0
