Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
4.43543E-5,4.00214541,0.120839917,0.32027512,0,0
4.66627E-5,4.253053524,0.126334529,0.314792663,0,0
4.99721E-5,4.500467425,0.134092965,0.309708931,0,0
5.26749E-5,4.751922355,0.140327707,0.304824561,0.015625,0
5.66427E-5,5.002855921,0.149319751,0.300239234,0.015625,0
6.04373E-5,5.254219042,0.157744988,0.295952951,0.015625,0
6.33883E-5,5.507745047,0.164182738,0.291866029,0.015625,0
6.66733E-5,5.754956122,0.171234251,0.28807815,0.015625,0
6.99251E-5,6.000704896,0.17809826,0.284489633,0.015625,0
7.37547E-5,6.259296186,0.186037534,0.280901116,0.015625,0
7.73106E-5,6.500680354,0.19327349,0.277711324,0.03125,0
8.08199E-5,6.75433468,0.200289371,0.274521531,0.03125,0
8.37908E-5,7.000996054,0.206134164,0.2715311,0.03125,0
8.64996E-5,7.256410292,0.211389512,0.26854067,0.03125,0
9.03833E-5,7.50495217,0.218803947,0.265749601,0.03125,0
9.39169E-5,7.763287851,0.22542984,0.262958533,0.03125,0
9.71958E-5,8.00206453,0.231478361,0.260466507,0.046875,0
1.01098E-4,8.259388871,0.238554973,0.257874801,0.046875,0
1.04763E-4,8.506213677,0.24508295,0.255482456,0.046875,0
1.07717E-4,8.750100552,0.250263811,0.253189793,0.046875,0
1.0987E-4,9.000157701,0.253996368,0.250897129,0.046875,0
1.12437E-4,9.25576285,0.258396326,0.248604466,0.046875,0
1.14903E-4,9.506317257,0.262575712,0.246411483,0.046875,0
1.18054E-4,9.762300551,0.267848609,0.244218501,0.046875,0
1.2076E-4,10.001836414,0.272315571,0.24222488,0.046875,0
1.24754E-4,10.260784876,0.278811831,0.240131579,0.046875,0
1.27537E-4,10.500622906,0.283268524,0.23823764,0.0625,0
1.30985E-4,10.758765337,0.28871558,0.236244019,0.078125,0
1.34157E-4,11.010765336,0.293655367,0.23435008,0.078125,0
1.36814E-4,11.25514826,0.297738382,0.232555821,0.078125,0
1.40658E-4,11.505196672,0.303564736,0.230761563,0.078125,0
1.43044E-4,11.760640884,0.307133546,0.228967305,0.078125,0
1.45662E-4,12.005691616,0.311005998,0.227272727,0.078125,0
1.49397E-4,12.255990737,0.316456342,0.22557815,0.078125,0
1.52815E-4,12.512742335,0.321370554,0.223883573,0.09375,0
1.56906E-4,12.760692662,0.327158965,0.222288676,0.09375,0
1.60605E-4,13.015016193,0.332308755,0.22069378,0.09375,0
1.62232E-4,13.257338284,0.334549186,0.219198565,0.09375,0
1.64739E-4,13.503183406,0.337971579,0.217703349,0.109375,0
1.67199E-4,13.752244937,0.341295557,0.216208134,0.109375,0
1.69166E-4,14.004238721,0.343930298,0.214712919,0.109375,0
1.71316E-4,14.259443594,0.346785799,0.213217703,0.171875,0
1.74286E-4,14.501444006,0.350689013,0.211822169,0.171875,0
1.77986E-4,14.765811455,0.355486892,0.210326954,0.171875,0
1.79691E-4,15.016446422,0.357674437,0.208931419,0.171875,0
1.82618E-4,15.252448817,0.361395358,0.207635566,0.171875,0
1.85426E-4,15.510212669,0.364924829,0.206240032,0.171875,0
1.8832E-4,15.753345713,0.368521432,0.204944179,0.171875,0
1.9009E-4,16.018116085,0.370700505,0.203548644,0.171875,0
1.92184E-4,16.266925318,0.373260475,0.202252791,0.171875,0
1.94961E-4,16.538195155,0.376622198,0.200857257,0.171875,0
1.9705E-4,16.754031308,0.37912794,0.199760766,0.171875,0
1.99226E-4,17.011679862,0.381715848,0.198464912,0.1875,0
2.0241E-4,17.252387983,0.385465246,0.19726874,0.1875,0
2.04919E-4,17.516771151,0.388387794,0.195972887,0.1875,0
2.06763E-4,17.763617172,0.390517129,0.194776715,0.1875,0
2.08465E-4,18.012845843,0.392470916,0.193580542,0.1875,0
2.10464E-4,18.264181913,0.394748621,0.19238437,0.1875,0
2.12962E-4,18.518233616,0.397571414,0.191188198,0.203125,0
2.14933E-4,18.753940876,0.399779704,0.190091707,0.203125,0
2.16092E-4,19.012579805,0.401070551,0.188895534,0.203125,0
2.18106E-4,19.251406031,0.403301358,0.187799043,0.203125,0
2.19683E-4,19.513832501,0.405035866,0.186602871,0.203125,0
2.21648E-4,19.756929729,0.407184153,0.18550638,0.203125,0
2.25094E-4,20.002980409,0.410912855,0.184409888,0.203125,0
2.27353E-4,20.251541048,0.413332742,0.183313397,0.203125,0
2.30447E-4,20.503913083,0.416613579,0.182216906,0.203125,0
